,x,y,operationTime,H,L,kickerId,OK,Left,Right,WindDirection,WindSpeed,StadiumAzimuthAngle,pressAltit,actualLength,prdictedLength
1902,59.89,23.68,2.11,0,0,38600.0,0,0,1,113.16666666666667,6.7299999999999995,316.3,508.0333333333348,41.0,39.860615
3792,57.67,29.91,2.09,0,0,38600.0,1,0,0,113.16666666666667,6.7299999999999995,316.3,508.0333333333348,42.0,40.34805
6228,65.44,29.383333333333336,1.99,0,0,52791.0,1,0,0,113.16666666666667,6.7299999999999995,316.3,508.0333333333348,38.0,36.720375
9019,39.64,23.57,2.04,0,0,52791.0,1,0,0,113.16666666666667,6.7299999999999995,316.3,508.0333333333348,54.0,49.6482
11099,31.64,26.443333333333335,1.88,0,0,46218.0,1,0,0,89.0,7.015714285714286,70.9,888.0571428571438,53.0,50.22554
14312,46.93,26.48,2.12,0,0,52636.0,1,0,0,89.0,7.015714285714286,70.9,888.0571428571438,55.0,46.202374
16302,54.599999999999994,29.533333333333335,2.05,0,0,46218.0,1,0,0,89.0,7.015714285714286,70.9,888.0571428571438,44.0,44.178448
18322,24.84,29.86,2.1,0,0,52636.0,1,0,0,89.0,7.015714285714286,70.9,888.0571428571438,45.0,43.659447
20148,54.489999999999995,29.333333333333336,2.02,0,1,46218.0,0,0,0,89.0,7.015714285714286,70.9,888.0571428571438,46.0,44.784077
26300,49.61,23.573333333333334,1.96,0,0,48139.0,1,0,0,151.57142857142858,7.812857142857142,289.5,-111.0857142857127,59.0,50.8088
28416,48.2,29.9,2.1,0,0,31018.0,1,0,0,151.57142857142858,7.812857142857142,289.5,-111.0857142857127,49.0,45.11692
30839,53.39,23.273333333333337,1.95,0,0,48139.0,1,0,0,151.57142857142858,7.812857142857142,289.5,-111.0857142857127,37.0,41.3082
33189,64.65,23.63,2.08,0,0,31018.0,1,0,0,151.57142857142858,7.812857142857142,289.5,-111.0857142857127,37.0,35.027073
35137,44.150000000000006,29.653333333333336,2.13,0,0,31018.0,1,0,0,151.57142857142858,7.812857142857142,289.5,-111.0857142857127,39.0,44.684433
