StadiumName,HomeTeam,RoofType,Longitude,Latitude,StadiumAzimuthAngle,elevationFt
Alamodome,NO,Indoor,-98.478889,29.416944,0,658
Allegiant Stadium,LV,Indoor,-115.183722,36.09075,0,2190
Arrowhead Stadium,KC,Outdoor,-94.483889,39.048889,316.3,842
AT&T Stadium,DAL,Retractable,-97.092778,32.747778,68,575
Bank of America Stadium,CAR,Outdoor,-80.852778,35.225833,322.4,707
Candlestick Park,SF,Outdoor,-122.386111,37.713611,0,25
CenturyLink Field,SEA,Outdoor,-122.3316,47.5952,0,16
Dignity Health Sports Park,LAC,Outdoor,-118.261,33.864,0,78.39
Empower Field at Mile High,DEN,Outdoor,-105.02,39.743889,0,5199
Estadio Azteca,Mexico City,Outdoor,-99.150442,19.302911,5.9,NA
FedExField,WAS,Outdoor,-76.864444,38.907778,295,133
FirstEnergy Stadium,CLE,Outdoor,-81.699444,41.506111,56.1,568
Ford Field,DET,Indoor,-83.045556,42.34,63.7,608
Foxboro Stadium,NE,Outdoor,-71.267442,42.0927,353.7,275
Georgia Dome,ATL,Indoor,-84.401,33.758,90,976
Giants Stadium,NYG,Outdoor,-74.076944,40.812222,308,7
Giants Stadium,NYJ,Outdoor,-74.076944,40.812222,308,7
Gillette Stadium,NE,Outdoor,-71.264,42.091,343,275
Hard Rock Stadium,MIA,Outdoor,-80.238889,25.958056,302.1,5
Heinz Field,PIT,Outdoor,-80.015833,40.446667,333.9,713
Husky Stadium,SEA,Outdoor,-122.301667,47.650278,289.6,47
Lambeau Field,GB,Outdoor,-88.062222,44.501389,0,617
Levi's Stadium,SF,Outdoor,-121.97,37.403,330,9
Lincoln Financial Field,PHI,Outdoor,-75.1675,39.900833,351,14
Los Angeles Memorial Coliseum,LAR,Outdoor,-118.287778,34.014167,90,172
Lucas Oil Stadium,IND,Retractable,-86.162806,39.760056,26.6,701
M&T Bank Stadium,BAL,Outdoor,-76.622778,39.278056,289.5,22
Memorial Stadium,CHI,Outdoor,-88.23583333,40.09916667,0,733
Mercedes-Benz Stadium,ATL,Retractable,-84.4,33.755556,70.9,976
Mercedes-Benz Superdome,NO,Indoor,-90.811111,29.950833,30,1
MetLife Stadium,NYG,Outdoor,-74.074361,40.813528,345.5,10
MetLife Stadium,NYJ,Outdoor,-74.074361,40.813528,345.5,10
Mile High Stadium,DEN,Outdoor,-105.0216667,39.74611111,0,5248
New Era Field,BUF,Outdoor,-78.787,42.774,302.1,763
Nissan Stadium,TEN,Outdoor,-86.771389,36.166389,334.6,432
NRG Stadium,HOU,Retractable,-95.410833,29.684722,358.2,52
Oakland Coliseum,OAK,Outdoor,-122.200556,37.751667,324.7,11
Paul Brown Stadium,CIN,Outdoor,-84.516,39.095,320.6,528
Pontiac Silverdome,DET,Indoor,-83.255,42.64583333,310,930
Qualcomm Stadium,SD,Outdoor,-117.119444,32.783056,291.6,42
Raymond James Stadium,TB,Outdoor,-82.503333,27.975833,0,36
RCA Dome,IND,Indoor,-86.16333333,39.76361111,90,701
Rogers Centre,Toronto,Retractable,-79.389167,43.641389,346.4,NA
SoFi Stadium,LAC,Outdoor,-118.3392,33.95345,338.2,129
SoFi Stadium,LAR,Outdoor,-118.3392,33.95345,338.2,129
Soldier Field,CHI,Outdoor,-87.6167,41.8623,353.9,594
State Farm Stadium,ARI,Retractable,-112.263,33.528,330,1071
Sun Devil Stadium,ARI,Outdoor,-111.9325,33.42638889,14.2,1152
TCF Bank Stadium,MIN,Outdoor,-93.225,44.976,90,832
Texas Stadium,DAL,Indoor,-96.911,32.84,39.4,439
The Dome at America's Center,STL,Indoor,-90.188611,38.632778,15,466
Three Rivers Stadium,PIT,Outdoor,-80.012778,40.446667,0,781
TIAA Bank Field,JAX,Outdoor,-81.6375,30.323889,16.7,3
Tiger Stadium,NO,Outdoor,-91.185556,30.411944,336,25
Tottenham Hotspur Stadium,Tottenham,Outdoor,-0.066389,51.604444,0,NA
Twickenham Stadium,Twickenham,Outdoor,-0.341667,51.456111,324.8,NA
U.S. Bank Stadium,MIN,Indoor,-93.258056,44.973889,309.9,838
Veterans Stadium,PHI,Outdoor,-75.171111,39.906667,90,31
Wembley Stadium,Wembley,Outdoor,-0.279722,51.555833,90,NA
